FBID	logFC_ActVsCs	logCPM_ActVsCs	LR_ActVsCs	PValue_ActVsCs	logFC_RepVsCs	logCPM_RepVsCs	LR_RepVsCs	PValue_RepVsCs
mRpL45	-0.552702458989376	3.99439398547554	3.54152415019722	0.0598504409081482	-0.428580950984829	3.99439398547554	2.1356782932147	0.143906795510823
mRpL46	-0.956998789866007	2.77666000103885	6.1524590608252	0.0131229511645744	-0.172323901244025	2.77666000103885	0.209424887920636	0.64721854479339
mRpL47	-0.758267178598835	3.86471438384358	6.85894467548292	0.00881986247585435	-0.402979025206646	3.86471438384358	1.97066295630817	0.160377510477005
mRpL48	-0.94202461731662	3.37009760137358	8.51910598012819	0.00351437093575596	-0.272495100871333	3.37009760137358	0.741893330314415	0.389055051142035
mRpL49	-0.944776697653992	2.59257657992564	6.05304872240352	0.0138823072517526	-0.438044927528356	2.59257657992564	1.34538584222339	0.246086392710451
mRpL50	-1.16651728778211	4.28602410042221	16.5973148591602	4.62164078909507e-05	-0.435313198464027	4.28602410042221	2.40702304219857	0.12079187884209
mRpL51	-0.922422864741776	4.22542444669028	8.43276619475021	0.00368519307126524	-0.289235863376834	4.22542444669028	0.85265424355279	0.355802548006675
mRpL52	-1.32603493547763	4.30908153268088	21.8456935988909	2.95479000855281e-06	-0.589810989787162	4.30908153268088	4.51978441850158	0.0335050529797159
mRpL54	-0.97071395941473	2.98745866492665	7.98637937649594	0.00471305728278086	-0.532779797421273	2.98745866492665	2.47510606345237	0.115661640648141
mRpL55	-1.60566490973414	4.72258341647966	30.2290111693337	3.83923511724789e-08	-0.689343004090331	4.72258341647966	5.894147772699	0.0151912789030662
mRpL9	-1.4328542872262	4.33897940962778	24.5799350483466	7.12901950736281e-07	-0.476624288624795	4.33897940962778	2.88260743373836	0.0895409236663659
mRpS10	-0.960774688716077	3.21162668783992	6.16669630886902	0.0130177485250495	-0.849913725077125	3.21162668783992	4.84457404609901	0.0277332410472899
mRpS11	-1.38556581917272	3.87815325746724	20.8251547884986	5.03177254999577e-06	-0.789909530223063	3.87815325746724	7.04710536144004	0.0079393449202754
mRpS14	-0.596480677669107	2.03694693231297	1.86289015085714	0.172291605694118	-0.329729915818345	2.03694693231297	0.577390900478756	0.447336825666386
mRpS16	-1.27236845611394	4.00138913151051	17.4967259485242	2.87802878689045e-05	-0.167720975794337	4.00138913151051	0.323687559932677	0.569399938486404
mRpS17	-0.721314061031849	3.51120275567145	3.90134577112448	0.0482474450670247	-0.460043648065161	3.51120275567145	1.60425448864912	0.205301328252683
mRpS18A	-1.13695964295929	2.45604621094115	5.88142840900948	0.0153014032815752	-0.577677873192133	2.45604621094115	1.57323454795107	0.209737900056687
mRpS18B	-1.04222650339657	3.13528681172996	9.11591478303985	0.00253395207805697	-0.393938353533239	3.13528681172996	1.35773923607328	0.243929676264669
mRpS18C	-0.965250586495823	4.32121748589392	9.14592030058522	0.00249273231058101	-0.396869424283778	4.32121748589392	1.58597269785164	0.207902467892316
mRpS2	-1.01736390791716	3.700168677447	9.15204338530624	0.00248440474618833	-0.263432947088583	3.700168677447	0.63833226340212	0.424315354690409
mRpS21	-0.77988289907673	3.55066281624696	6.38582460999563	0.011503530614658	-0.605981371679872	3.55066281624696	3.88256010837312	0.0487901061627599
mRpS22	-0.487788326179687	5.12677468921053	3.39692189427434	0.0653182019237751	0.0200110284583164	5.12677468921053	0.00578810327527712	0.939355781758237
mRpS23	-1.09072260942916	3.83607721316533	13.2809607620139	0.00026811506142264	-0.470862244835721	3.83607721316533	2.56789606557539	0.109052684029842
mRpS24	-0.922512741105407	3.9315199331505	9.78023734650526	0.00176397542456785	-0.392638127089707	3.9315199331505	1.82184888559646	0.177093356375379
mRpS25	-0.855066456596345	3.77380648071403	7.12102301556958	0.00761852215506735	-0.558250571174776	3.77380648071403	3.07876335735798	0.0793208157923415
